SIT_MATRICULA,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,INGLES_FALA,INGLES_COMPREENSAO,INGLES_ESCRITA,INGLES_LEITURA,NOTA,N_FALTAS,ANO_INGRESSSO,IDADE_INGRESSO,APROVADO
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,0.0,0.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,8.8,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,8.3,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,6.0,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,7.3,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,6.6,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,6.5,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,10.0,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,7.0,4.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,2.8,16.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,4.4,14.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,6.8,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,6.0,4.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,7.5,2.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,0.0,60.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,3.7,20.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,8.7,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,1.5,6.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,0.0,72.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,0.0,0.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,0.0,0.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,6.3,24.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,7.7,0.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,9.0,2.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,7.6,6.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,9.0,4.0,2011,21.0,1.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,8.4,0.0,2011,21.0,1.0
